sesja z godziny  19:58:23: houseScore,playerScore,playerPoints,changeInPoints,playerWin
                          ,17        ,20         ,120         ,-20           ,false    ,
sesja z godziny  19:58:47: houseScore,playerScore,playerPoints,changeInPoints,playerWin
                          ,24        ,18         ,140         ,-40           ,false    ,
sesja z godziny  19:59:08: houseScore,playerScore,playerPoints,changeInPoints,playerWin
                          ,21        ,18         ,120         ,-20           ,false    ,
sesja z godziny  19:59:14: houseScore,playerScore,playerPoints,changeInPoints,playerWin
                          ,21        ,18         ,0           ,100           ,false    ,
